t,power_w,sm_mhz,temp_c,util_pct,throttle
17.8,161.49,1087,75,97,0x0000000000000020
18.1,158.15,1087,75,96,0x0000000000000020
18.5,158.46,1087,75,96,0x0000000000000020
18.8,158.98,1080,75,97,0x0000000000000020
19.1,157.07,1087,75,88,0x0000000000000020
19.5,159.42,1072,75,96,0x0000000000000000
19.8,157.93,1080,75,97,0x0000000000000020
20.2,54.83,1342,73,59,0x0000000000000000
20.5,54.18,1342,72,0,0x0000000000000000
20.8,53.77,1342,71,0,0x0000000000000000
21.2,52.81,1342,71,0,0x0000000000000000
21.5,52.67,1342,71,0,0x0000000000000000
21.8,55.31,1380,71,46,0x0000000000000000
22.2,227.84,1380,70,78,0x0000000000000004
22.5,204.14,1140,75,100,0x0000000000000004
22.8,203.85,1132,76,100,0x0000000000000004
23.2,186.22,1102,76,100,0x0000000000000000
23.5,201.30,1162,77,99,0x0000000000000004
23.8,203.21,1140,77,100,0x0000000000000000
24.2,201.94,1125,77,100,0x0000000000000004
24.5,204.76,1140,77,99,0x0000000000000004
24.8,186.50,1125,78,100,0x0000000000000000
25.2,195.27,1117,77,100,0x0000000000000000
25.5,182.35,1087,78,100,0x0000000000000004
25.8,207.91,1162,78,100,0x0000000000000004
26.2,179.08,1125,78,100,0x0000000000000004
26.5,196.22,1125,78,100,0x0000000000000000
26.8,229.68,1140,78,99,0x0000000000000004
27.2,203.04,1170,78,100,0x0000000000000004
27.5,205.12,1125,78,100,0x0000000000000004
27.8,173.83,1125,78,100,0x0000000000000000
28.2,208.72,1177,78,99,0x0000000000000004
28.5,223.12,1140,78,100,0x0000000000000004
28.8,207.16,1140,78,100,0x0000000000000000
29.1,189.84,1140,78,100,0x0000000000000000
29.5,175.02,1357,77,99,0x0000000000000000
29.8,204.45,1140,78,97,0x0000000000000004
30.1,210.79,1162,78,100,0x0000000000000004
30.5,166.56,1125,78,100,0x0000000000000004
30.8,198.91,1192,78,100,0x0000000000000004
31.1,70.60,1357,77,92,0x0000000000000000
31.5,201.37,1290,77,93,0x0000000000000004
31.8,195.66,1275,78,96,0x0000000000000020
32.1,161.05,1125,77,97,0x0000000000000020
32.5,142.69,975,76,97,0x0000000000000020
32.8,146.67,990,75,96,0x0000000000000020
33.1,147.49,997,75,96,0x0000000000000020
33.5,145.37,975,75,95,0x0000000000000000
33.8,142.00,930,75,97,0x0000000000000000
34.2,145.25,990,75,97,0x0000000000000000
34.5,145.88,990,75,98,0x0000000000000020
34.8,145.68,975,75,96,0x0000000000000020
35.2,144.58,997,75,97,0x0000000000000000
35.5,142.62,930,75,97,0x0000000000000020
35.9,144.25,975,75,96,0x0000000000000020
36.2,143.69,997,75,97,0x0000000000000020
36.6,142.00,960,75,97,0x0000000000000000
37.0,145.47,937,75,97,0x0000000000000000
37.3,145.21,1005,75,97,0x0000000000000020
37.6,141.34,960,75,97,0x0000000000000000
38.0,141.55,982,75,96,0x0000000000000000
38.3,144.73,990,75,97,0x0000000000000000
38.7,144.15,990,75,98,0x0000000000000000
39.0,145.67,1012,75,97,0x0000000000000020
39.4,146.98,1005,75,96,0x0000000000000000
39.7,143.50,1012,74,98,0x0000000000000020
40.1,144.59,937,74,97,0x0000000000000000
40.4,141.77,922,74,97,0x0000000000000020
40.8,143.02,975,74,96,0x0000000000000020
41.1,145.90,990,75,96,0x0000000000000000
41.4,146.70,1012,74,97,0x0000000000000020
41.8,151.07,990,74,97,0x0000000000000020
42.1,143.63,967,74,97,0x0000000000000020
42.4,146.05,960,74,97,0x0000000000000020
42.8,52.48,1185,74,97,0x0000000000000000
43.1,48.11,1230,72,0,0x0000000000000000
43.4,47.05,1230,71,0,0x0000000000000000
43.7,55.31,1380,71,96,0x0000000000000000
44.1,54.27,1380,71,9,0x0000000000000000
44.4,190.45,1380,73,94,0x0000000000000000
44.8,176.76,1380,75,100,0x0000000000000000
45.1,175.51,1380,75,100,0x0000000000000000
45.4,179.74,1380,75,100,0x0000000000000000
45.8,190.40,1380,74,100,0x0000000000000000
46.1,202.37,1275,76,92,0x0000000000000000
46.4,204.59,1267,76,98,0x0000000000000004
46.8,204.21,1267,77,97,0x0000000000000000
47.1,203.13,1267,77,97,0x0000000000000000
47.4,186.07,1192,77,97,0x0000000000000020
47.8,181.40,1192,76,97,0x0000000000000020
48.1,175.43,1192,76,97,0x0000000000000020
48.4,181.95,1192,76,93,0x0000000000000020
48.8,167.43,1125,76,97,0x0000000000000020
49.1,162.65,1125,75,97,0x0000000000000000
49.5,161.69,1110,75,96,0x0000000000000020
49.8,161.53,1102,75,98,0x0000000000000020
50.1,161.74,1102,75,97,0x0000000000000020
50.5,163.82,1117,75,96,0x0000000000000000
50.8,160.45,1117,75,98,0x0000000000000020
51.2,167.08,1102,75,98,0x0000000000000000
51.5,165.42,1125,75,98,0x0000000000000020
51.9,158.67,1117,75,96,0x0000000000000000
52.2,160.30,1102,75,97,0x0000000000000020
52.5,165.16,1102,75,97,0x0000000000000000
52.9,166.27,1117,75,98,0x0000000000000020
53.2,162.83,1125,75,97,0x0000000000000000
53.6,161.60,1102,75,97,0x0000000000000020
53.9,163.70,1117,75,97,0x0000000000000000
54.3,165.81,1110,75,98,0x0000000000000020
54.6,163.30,1102,75,96,0x0000000000000020
54.9,50.99,1230,74,98,0x0000000000000000
55.3,48.21,1230,72,0,0x0000000000000000
55.6,47.72,1230,71,0,0x0000000000000000
55.9,47.53,1230,71,0,0x0000000000000000
56.3,47.24,1230,70,0,0x0000000000000000
56.6,54.25,1357,70,54,0x0000000000000000
56.9,54.37,1380,70,87,0x0000000000000000
57.3,203.41,1320,73,64,0x0000000000000000
57.6,199.65,1312,74,96,0x0000000000000000
57.9,199.96,1320,75,95,0x0000000000000000
58.3,195.48,1305,76,95,0x0000000000000000
58.6,201.79,1335,76,94,0x0000000000000004
58.9,197.13,1320,76,94,0x0000000000000004
59.2,199.75,1290,76,96,0x0000000000000000
59.6,193.46,1290,76,96,0x0000000000000000
59.9,196.51,1290,77,96,0x0000000000000000
60.2,202.71,1282,77,97,0x0000000000000004
60.6,184.77,1230,76,97,0x0000000000000020
60.9,163.70,1147,76,97,0x0000000000000000
61.2,160.58,1140,75,96,0x0000000000000000
61.6,168.59,1155,75,96,0x0000000000000020
61.9,166.45,1147,75,97,0x0000000000000020
62.2,158.27,1140,75,96,0x0000000000000020
62.6,166.19,1162,75,94,0x0000000000000020
62.9,166.16,1147,75,96,0x0000000000000020
63.2,162.96,1140,75,96,0x0000000000000020
63.5,165.21,1140,75,97,0x0000000000000020
63.9,162.94,1140,75,96,0x0000000000000000
64.2,163.06,1147,75,97,0x0000000000000000
64.6,163.79,1140,75,97,0x0000000000000000
64.9,168.45,1147,75,96,0x0000000000000020
65.2,165.04,1147,75,97,0x0000000000000020
65.6,167.38,1140,75,97,0x0000000000000020
65.9,169.97,1140,75,97,0x0000000000000000
66.2,162.06,1147,75,96,0x0000000000000000
66.6,165.17,1147,75,97,0x0000000000000020
66.9,168.06,1147,75,96,0x0000000000000020
67.2,164.95,1162,75,96,0x0000000000000020
67.5,162.59,1147,75,96,0x0000000000000000
67.9,48.59,1230,72,5,0x0000000000000000
68.2,47.92,1230,71,0,0x0000000000000000
68.5,47.46,1230,71,0,0x0000000000000000
68.9,47.34,1230,70,0,0x0000000000000000
69.2,47.05,1230,70,0,0x0000000000000000
69.5,46.95,1230,70,0,0x0000000000000000
69.9,46.85,1230,70,0,0x0000000000000000
70.2,46.56,1230,69,0,0x0000000000000000
70.5,46.58,1230,69,0,0x0000000000000000
70.8,46.47,1230,69,0,0x0000000000000000
71.2,46.30,1230,69,0,0x0000000000000000
71.5,46.19,1230,69,0,0x0000000000000000
71.8,46.19,1230,69,0,0x0000000000000000
72.1,46.09,1230,68,0,0x0000000000000000
72.5,45.99,1230,68,0,0x0000000000000000
72.8,45.98,1230,68,0,0x0000000000000000
73.1,45.79,1230,68,0,0x0000000000000000
73.5,45.82,1230,68,0,0x0000000000000000
73.8,45.70,1230,68,0,0x0000000000000000
74.1,45.65,1230,68,0,0x0000000000000000
74.5,45.53,1230,68,0,0x0000000000000000
74.8,45.60,1230,67,0,0x0000000000000000
